assists,damages,deaths,denies,duration,hero_id,isRadiant,is_win,kda,kills,last_hits,match_id,radiant_win
9,13731,4,6,1762,104,true,true,3,10,109,3301137537,true
19,24384,3,12,2294,18,true,true,6,6,335,3302865355,true
4,19060,7,12,1738,43,true,false,1,5,151,3303037054,false
6,11689,9,8,2025,104,false,false,0,3,163,3303138808,true
7,15997,13,9,1949,74,true,false,1,7,202,3303235757,false
7,30981,8,10,2505,43,true,false,1,8,198,3303332640,false
3,10915,0,15,1275,76,true,true,15,12,149,3303438219,true
14,37153,4,18,2099,39,false,true,7,21,194,3303496501,false
10,31141,10,26,2243,4,false,false,1,11,303,3304603031,true
12,20669,5,24,2675,95,true,false,2,5,316,3304681269,false
20,28332,8,9,2109,106,true,true,4,17,187,3304779365,true
10,27609,0,18,1807,13,true,true,28,18,155,3304856042,true
15,49744,8,8,2973,104,false,true,4,21,220,3304934658,false
6,11931,5,16,2032,93,false,false,1,4,212,3305171701,true
5,21439,0,9,1657,13,true,false,11,6,184,3305274567,false
6,12609,0,17,954,15,false,true,17,11,92,3305361571,false
8,30094,7,16,2706,74,true,false,2,8,387,3305419877,false
18,30586,9,22,3585,75,true,false,2,11,441,3305524422,false
19,42506,6,6,3503,18,false,true,5,17,537,3306513097,false
6,19502,8,28,2390,13,false,false,1,9,217,3306648817,true
13,18792,4,15,1725,25,false,true,3,6,195,3306741641,false
16,27246,0,10,2069,13,false,true,31,15,202,3306825626,false
12,34225,3,6,2766,49,false,true,7,16,295,3307046721,false
12,19521,5,9,1915,49,true,false,3,7,168,3307167385,false
2,8099,8,13,1728,43,true,false,0,3,157,3307268522,false
13,30583,5,11,3198,13,false,false,3,6,323,3307345416,true
14,42475,7,15,3998,18,false,true,3,16,534,3307456936,false
9,19313,1,13,1526,21,true,true,13,17,154,3309041160,true
9,18128,6,13,2208,13,false,false,2,10,238,3309119978,true
11,34883,1,14,1997,81,false,true,15,20,252,3309217647,false
17,18672,13,9,1762,40,false,false,1,3,149,3309310948,true
9,24867,1,29,1500,7,false,true,12,16,145,3309380299,false
14,43185,8,3,2440,49,false,false,3,17,210,3310692247,true
23,21029,4,2,2361,49,false,true,6,11,251,3310780440,false
8,11624,7,3,2069,49,false,false,1,3,235,3310917485,true
14,23583,1,23,1640,13,false,true,13,12,145,3311016624,false
18,70693,8,14,4261,74,true,true,3,13,539,3311099977,true
12,23553,11,23,2937,41,true,false,1,8,275,3311255782,false
31,61188,7,23,3477,63,true,true,6,20,359,3311381924,true
10,17387,2,14,1597,74,true,true,9,17,203,3312556776,true
19,37623,9,16,2846,74,true,false,3,18,388,3313136009,false
14,24937,4,18,2694,8,true,false,3,4,379,3313177006,false
9,21471,3,21,2195,74,true,true,4,10,279,3313247898,true
11,6793,7,9,2023,41,true,false,1,3,174,3314437777,false
19,22464,3,12,1993,13,true,true,8,15,212,3315087279,true
8,22371,14,6,1950,74,false,false,1,9,150,3315187720,true
8,18983,10,21,2071,74,false,false,1,5,219,3315307905,true
5,18368,6,8,1930,63,true,false,0,1,186,3315430706,false
14,25785,12,14,2408,13,true,false,1,5,246,3315533991,false
18,23030,5,25,2005,39,false,true,4,8,185,3317070532,false
25,42890,8,33,3430,13,true,false,4,12,575,3317155095,false
8,13692,3,20,1261,74,true,true,4,10,111,3317328784,true
